# Logfile created on 2017-02-06 13:39:59 +0100 by logger.rb/56438
I, [2017-02-06T15:18:19.398591 #24111]  INFO -- : (0.000176s) PRAGMA foreign_keys = 1
I, [2017-02-06T15:18:19.398739 #24111]  INFO -- : (0.000021s) PRAGMA case_sensitive_like = 1
I, [2017-02-06T15:18:19.398936 #24111]  INFO -- : (0.000112s) SELECT sqlite_version()
I, [2017-02-06T15:18:19.489208 #24111]  INFO -- : (0.089767s) CREATE TABLE IF NOT EXISTS `coding_activity_context_poll` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `province` varchar(255), `school` varchar(255), `class` varchar(255), `average_age` double precision, `males` integer, `females` integer, `date_begin` Datetime, `date_end` Datetime, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T15:18:19.572195 #24111]  INFO -- : (0.082234s) CREATE TABLE IF NOT EXISTS `coding_activity_teacher_skills_poll` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_context_poll`, `age` integer, `sex` char(1), `role` varchar(255), `knowledge` Text, `training` Text, `groups` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T15:18:19.646960 #24111]  INFO -- : (0.073941s) CREATE TABLE IF NOT EXISTS `coding_activity_project_poll` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_context_poll`, `goal` Text, `estimated_time_in_days` integer, `date_begin` Datetime, `date_end` Datetime, `activity` Text, `environments` Text, `monitorings` Text, `best_practices` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T15:18:19.738167 #24111]  INFO -- : (0.090565s) CREATE TABLE IF NOT EXISTS `coding_activity_rating_poll` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_context_poll`, `reaching_goals` Text, `difficulties` Text, `unexpected_results` Text, `comments` Text, `comments_teacher` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T15:18:19.839039 #24111]  INFO -- : (0.100243s) CREATE TABLE IF NOT EXISTS `coding_activity_futures_poll` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_context_poll`, `activities` boolean, `products_reuse` boolean, `sharing` boolean, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T15:28:41.852764 #24369]  INFO -- : (0.000203s) PRAGMA foreign_keys = 1
I, [2017-02-06T15:28:41.852855 #24369]  INFO -- : (0.000017s) PRAGMA case_sensitive_like = 1
I, [2017-02-06T15:28:41.852973 #24369]  INFO -- : (0.000074s) SELECT sqlite_version()
I, [2017-02-06T15:28:41.853316 #24369]  INFO -- : (0.000033s) CREATE TABLE IF NOT EXISTS `coding_activity_context_poll` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `province` varchar(255), `school` varchar(255), `class` varchar(255), `average_age` double precision, `males` integer, `females` integer, `date_begin` Datetime, `date_end` Datetime, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T15:28:41.853572 #24369]  INFO -- : (0.000030s) CREATE TABLE IF NOT EXISTS `coding_activity_teacher_skills_poll` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_context_poll`, `age` integer, `sex` char(1), `role` varchar(255), `knowledge` Text, `training` Text, `groups` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T15:28:41.853832 #24369]  INFO -- : (0.000029s) CREATE TABLE IF NOT EXISTS `coding_activity_project_poll` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_context_poll`, `goal` Text, `estimated_time_in_days` integer, `date_begin` Datetime, `date_end` Datetime, `activity` Text, `environments` Text, `monitorings` Text, `best_practices` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T15:28:41.854054 #24369]  INFO -- : (0.000028s) CREATE TABLE IF NOT EXISTS `coding_activity_rating_poll` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_context_poll`, `reaching_goals` Text, `difficulties` Text, `unexpected_results` Text, `comments` Text, `comments_teacher` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T15:28:41.854259 #24369]  INFO -- : (0.000027s) CREATE TABLE IF NOT EXISTS `coding_activity_futures_poll` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_context_poll`, `activities` boolean, `products_reuse` boolean, `sharing` boolean, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T15:30:51.500737 #24407]  INFO -- : (0.000320s) PRAGMA foreign_keys = 1
I, [2017-02-06T15:30:51.500837 #24407]  INFO -- : (0.000020s) PRAGMA case_sensitive_like = 1
I, [2017-02-06T15:30:51.500963 #24407]  INFO -- : (0.000079s) SELECT sqlite_version()
I, [2017-02-06T15:30:51.501330 #24407]  INFO -- : (0.000034s) CREATE TABLE IF NOT EXISTS `coding_activity_context_poll` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `province` varchar(255), `school` varchar(255), `class` varchar(255), `average_age` double precision, `males` integer, `females` integer, `date_begin` Datetime, `date_end` Datetime, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T15:30:51.501604 #24407]  INFO -- : (0.000042s) CREATE TABLE IF NOT EXISTS `coding_activity_teacher_skills_poll` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_context_poll`, `age` integer, `sex` char(1), `role` varchar(255), `knowledge` Text, `training` Text, `groups` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T15:30:51.501856 #24407]  INFO -- : (0.000030s) CREATE TABLE IF NOT EXISTS `coding_activity_project_poll` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_context_poll`, `goal` Text, `estimated_time_in_days` integer, `date_begin` Datetime, `date_end` Datetime, `activity` Text, `environments` Text, `monitorings` Text, `best_practices` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T15:30:51.502076 #24407]  INFO -- : (0.000028s) CREATE TABLE IF NOT EXISTS `coding_activity_rating_poll` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_context_poll`, `reaching_goals` Text, `difficulties` Text, `unexpected_results` Text, `comments` Text, `comments_teacher` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T15:30:51.502282 #24407]  INFO -- : (0.000027s) CREATE TABLE IF NOT EXISTS `coding_activity_futures_poll` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_context_poll`, `activities` boolean, `products_reuse` boolean, `sharing` boolean, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T15:33:01.041305 #24579]  INFO -- : (0.000208s) PRAGMA foreign_keys = 1
I, [2017-02-06T15:33:01.041407 #24579]  INFO -- : (0.000018s) PRAGMA case_sensitive_like = 1
I, [2017-02-06T15:33:01.041528 #24579]  INFO -- : (0.000074s) SELECT sqlite_version()
I, [2017-02-06T15:33:01.041891 #24579]  INFO -- : (0.000035s) CREATE TABLE IF NOT EXISTS `coding_activity_context_poll` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `province` varchar(255), `school` varchar(255), `class` varchar(255), `average_age` double precision, `males` integer, `females` integer, `date_begin` Datetime, `date_end` Datetime, `created_on` Datetime, `updated_on` Datetime)
