# Logfile created on 2017-02-06 18:53:50 +0100 by logger.rb/56438
I, [2017-02-06T18:53:50.962082 #28737]  INFO -- : (0.000313s) PRAGMA foreign_keys = 1
I, [2017-02-06T18:53:50.962190 #28737]  INFO -- : (0.000028s) PRAGMA case_sensitive_like = 1
I, [2017-02-06T18:53:50.962321 #28737]  INFO -- : (0.000074s) SELECT sqlite_version()
I, [2017-02-06T18:53:50.962682 #28737]  INFO -- : (0.000035s) CREATE TABLE IF NOT EXISTS `coding_activity_contexts_polls` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `province` varchar(255), `city` varchar(255), `school` varchar(255), `class` varchar(255), `average_age` double precision, `males` integer, `females` integer, `date_begin` Datetime, `date_end` Datetime, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T18:53:50.962978 #28737]  INFO -- : (0.000032s) CREATE TABLE IF NOT EXISTS `coding_activity_teacher_skills_polls` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_contexts_polls`, `age` integer, `sex` char(1), `role` varchar(255), `knowledge` Text, `training` Text, `groups` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T18:53:50.963236 #28737]  INFO -- : (0.000030s) CREATE TABLE IF NOT EXISTS `coding_activity_projects_polls` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_contexts_poll`, `goal` Text, `estimated_time_in_days` integer, `date_begin` Datetime, `date_end` Datetime, `activity` Text, `environments` Text, `monitorings` Text, `best_practices` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T18:53:50.963480 #28737]  INFO -- : (0.000029s) CREATE TABLE IF NOT EXISTS `coding_activity_ratings_polls` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_contexts_polls`, `goals` Text, `difficulties` Text, `unexpected` Text, `comments` Text, `comments_teacher` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T18:53:50.963689 #28737]  INFO -- : (0.000028s) CREATE TABLE IF NOT EXISTS `coding_activity_futures_polls` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_contexts_polls`, `activities` boolean, `products_reuse` boolean, `sharing` boolean, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T18:53:50.964573 #28737]  INFO -- : (0.000303s) PRAGMA table_info('coding_activity_contexts_polls')
I, [2017-02-06T18:53:50.965760 #28737]  INFO -- : (0.000165s) PRAGMA table_info('coding_activity_teacher_skills_polls')
I, [2017-02-06T18:53:50.966694 #28737]  INFO -- : (0.000170s) PRAGMA table_info('coding_activity_projects_polls')
I, [2017-02-06T18:53:50.967708 #28737]  INFO -- : (0.000142s) PRAGMA table_info('coding_activity_ratings_polls')
I, [2017-02-06T18:53:50.968539 #28737]  INFO -- : (0.000128s) PRAGMA table_info('coding_activity_futures_polls')
